p1,p2,theta1,theta2,log_t1,log_t2
7,20,3.43332,1.08763,1.23353,0.0839986
8,0,2.83727,61.2697,1.04284,4.11528
8,1,2.83727,47.4684,1.04284,3.86006
8,2,2.83727,37.0308,1.04284,3.61175
8,3,2.83727,29.0859,1.04284,3.37025
8,4,2.83727,22.9987,1.04284,3.13544
8,5,2.83727,18.304,1.04284,2.90712
8,6,2.83727,14.6594,1.04284,2.68508
8,7,2.83727,11.8115,1.04284,2.46907
8,8,2.83727,9.57182,1.04284,2.25882
8,9,2.83727,7.79945,1.04284,2.05405
8,10,2.83727,6.38831,1.04284,1.85447
8,11,2.83727,5.25816,1.04284,1.65978
8,12,2.83727,4.34792,1.04284,1.4697
8,13,2.83727,3.61085,1.04284,1.28394
8,14,2.83727,3.01092,1.04284,1.10224
8,15,2.83727,2.52023,1.04284,0.924349
8,16,2.83727,2.11703,1.04284,0.750014
8,17,2.83727,1.78428,1.04284,0.579014
8,18,2.83727,1.50853,1.04284,0.411139
8,19,2.83727,1.27915,1.04284,0.246194
8,20,2.83727,1.08763,1.04284,0.0839986
9,0,2.35487,61.2697,0.856484,4.11528
9,1,2.35487,47.4684,0.856484,3.86006
9,2,2.35487,37.0308,0.856484,3.61175
9,3,2.35487,29.0859,0.856484,3.37025
9,4,2.35487,22.9987,0.856484,3.13544
9,5,2.35487,18.304,0.856484,2.90712
9,6,2.35487,14.6594,0.856484,2.68508
9,7,2.35487,11.8115,0.856484,2.46907
9,8,2.35487,9.57182,0.856484,2.25882
9,9,2.35487,7.79945,0.856484,2.05405
9,10,2.35487,6.38831,0.856484,1.85447
9,11,2.35487,5.25816,0.856484,1.65978
9,12,2.35487,4.34792,0.856484,1.4697
9,13,2.35487,3.61085,0.856484,1.28394
9,14,2.35487,3.01092,0.856484,1.10224
9,15,2.35487,2.52023,0.856484,0.924349
9,16,2.35487,2.11703,0.856484,0.750014
9,17,2.35487,1.78428,0.856484,0.579014
9,18,2.35487,1.50853,0.856484,0.411139
9,19,2.35487,1.27915,0.856484,0.246194
9,20,2.35487,1.08763,0.856484,0.0839986
