mode,mult,TF_Recalc(10:20-80),TF_Recalc(5:20-80),TF_Recalc(10:50-50),TF_Recalc(5:50-50),DP_Calc,DP_Sim,TF_Static_Sim(20-80),TF_Static_Sim(50-50),OF_Static_Sim,Seed
Exp_Gentle,0.6,157.667,157.003,154.865,154.723,181.099,179.673,320,320,146.795,9
Exp_Gentle,0.7,137.51,140.083,136.755,138.041,163.142,163.036,360,360,133.171,9
Exp_Gentle,0.8,173.42,171.044,164.867,162.696,195.295,194.18,440,440,153.171,9
Exp_Steep,0.6,282.172,284.64,284.88,285.128,299.657,297.629,320,320,281.4,9
Exp_Steep,0.7,242.471,240.215,239.428,240.349,262.465,264.302,360,360,229.12,9
Exp_Steep,0.8,280.331,284.273,274.009,276.382,307.503,308.181,420,420,267.233,9
Concave,0.6,75.6875,75.998,75.9395,75.427,82.9568,84.1,340,340,73.744,9
Concave,0.7,79.109,78.309,77.237,76.198,87.4314,86.851,380,380,74.54,9
Concave,0.8,81.084,80.7735,78.7095,78.8415,93.2167,94.025,420,420,78.9705,9
Uniform,0.6,97.8325,97.7215,97.4085,97.169,103.055,103.579,320,320,95.4,10
Uniform,0.7,100.505,101.415,101.997,101.706,106.73,106.754,380,380,101.81,10
Uniform,0.8,104.075,104.854,104.372,105.216,110.495,109.736,440,440,104.368,10
Linear,0.6,124.159,125.442,121.921,120.737,137.202,137.105,320,320,111.473,10
Linear,0.7,111.749,111.117,111.356,110.767,126.289,125.733,360,360,104.704,10
Linear,0.8,120.11,120.995,116.259,116.506,138.344,138.693,420,420,109.668,10
Exp_Gentle,0.6,142.81,143.725,139.107,137.863,158.907,159.035,320,320,128.824,10
Exp_Gentle,0.7,161.195,161.207,158.767,157.176,176.832,176.829,380,380,143.777,10
Exp_Gentle,0.8,155.035,155.292,148.776,147.434,177.795,177.417,440,440,137.632,10
Exp_Steep,0.6,255.232,258.224,256.095,256.404,273.087,272.552,320,320,250.04,10
Exp_Steep,0.7,287.732,291.047,290.625,291.499,317.057,318.01,380,380,288.346,10
Exp_Steep,0.8,286.369,286.278,280.708,282.018,309.991,309.183,420,420,266.945,10
Concave,0.6,71.064,72.1025,70.1855,69.4865,82.8358,82.677,320,320,68.3815,10
Concave,0.7,82.407,81.641,80.5125,80.056,89.4466,88.5985,380,380,77.72,10
Concave,0.8,80.357,80.675,78.844,78.3755,88.4216,88.6975,420,420,76.8915,10
Uniform,0.6,95.2185,95.365,95.8745,95.539,101.397,101.608,320,320,93.485,11
Uniform,0.7,95.956,96.1205,95.81,96.3675,102.209,102.455,360,360,94.3215,11
Uniform,0.8,105.055,105.297,105.624,105.563,110.094,110.867,440,440,104.724,11
Linear,0.6,116.534,116.895,114.62,113.357,131.987,133.281,320,320,106.522,11
Linear,0.7,122.314,122.661,118.433,117.884,142.631,141.712,360,360,112.238,11
Linear,0.8,134.45,133.551,129.635,128.689,148.019,148.126,420,420,119.371,11
Exp_Gentle,0.6,149.27,148.79,146.148,143.643,172.133,169.628,320,320,136.103,11
Exp_Gentle,0.7,136.76,135.691,134.893,134.45,161.991,164.02,380,380,131.41,11
Exp_Gentle,0.8,169.587,168.561,161.911,162.068,189.983,190.253,440,440,152.397,11
Exp_Steep,0.6,248.078,247.331,249.186,251.115,265.41,266.017,300,300,246.305,11
Exp_Steep,0.7,272.764,274.355,272.109,269.251,297.006,296.806,380,380,259.52,11
Exp_Steep,0.8,253.214,256.038,250.53,248.643,290.302,290.95,440,440,246.992,11
Concave,0.6,77.9175,78.671,76.5365,76.7415,90.3175,91.239,320,320,74.4755,11
Concave,0.7,77.6,78.044,76.9235,76.436,86.523,87.007,380,380,74.14,11
Concave,0.8,76.069,76.0515,75.6555,75.1985,82.6669,82.651,420,420,75.258,11
Uniform,0.6,95.536,95.9595,94.605,95.617,101.121,101.801,320,320,93.645,12
Uniform,0.7,99.687,99.8845,98.9125,99.5315,104.862,104.844,360,360,98.592,12
Uniform,0.8,100.62,101.933,102.897,101.051,106.867,107.169,420,420,100.686,12
Linear,0.6,118.98,118.538,116.27,115.022,135.617,136.134,320,320,107.456,12
Linear,0.7,122.157,123.029,119.016,119.335,137.458,137.027,380,380,114.272,12
Linear,0.8,118.918,120.781,118.999,118.924,130.255,129.124,440,440,114.8,12
Exp_Gentle,0.6,157.74,156.533,152.028,149.475,178.446,177.523,320,320,140.369,12
Exp_Gentle,0.7,162.639,160.92,155.055,152.985,181.533,180.693,360,360,141.068,12
Exp_Gentle,0.8,159.378,157.947,156.844,154.57,179.444,178.838,440,440,147.249,12
Exp_Steep,0.6,255.602,257.754,255.6,256.462,271.839,271.611,320,320,246.636,12
Exp_Steep,0.7,281.321,287.51,279.874,281.065,304.412,304.077,380,380,271.51,12
Exp_Steep,0.8,281.224,281.436,279.866,279.316,314.669,314.738,440,440,269.495,12
Concave,0.6,72.644,71.774,71.8165,71.131,81.0079,82.099,320,320,69.0415,12
Concave,0.7,75.6925,75.991,74.8195,74.8825,82.6188,82.707,380,380,73.59,12
Concave,0.8,77.011,77.943,77.6155,76.9295,84.1152,84.7545,420,420,76.05,12
Uniform,0.6,93.603,93.7965,95.3995,95.001,99.5476,99.7355,320,320,92.113,13
